LogicalName,SchemaName,AttributeType,AttributeOf,AttributeTypeName,CanBeSecuredForCreate,CanBeSecuredForRead,CanBeSecuredForUpdate,CanModifyAdditionalSettings,ColumnNumber,DeprecatedVersion,Description,DisplayName,EntityLogicalName,ExtensionData,HasChanged,InheritsFrom,IntroducedVersion,IsAuditEnabled,IsCustomAttribute,IsCustomizable,IsDataSourceSecret,IsFilterable,IsGlobalFilterEnabled,IsLogical,IsManaged,IsPrimaryId,IsPrimaryName,IsRenameable,IsRequiredForForm,IsRetrievable,IsSearchable,IsSecured,IsSortableEnabled,IsValidForAdvancedFind,IsValidForCreate,IsValidForForm,IsValidForGrid,IsValidForRead,IsValidForUpdate,IsValidODataAttribute,LinkedAttributeId,MetadataId,RequiredLevel,SourceType
m360_case_worker,m360_case_worker,String,,StringType,True,True,True,True,36,,,Case Worker,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{106e7a51-7160-4722-97db-28d119b3cf55},None,Standard
m360_caseid,m360_caseId,Uniqueidentifier,,UniqueidentifierType,False,False,False,True,1,,Unique identifier for entity instances,UNHCR Case Identifier,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,True,,{dcdca69d-7d27-41fb-8351-f907ae8b82f0},SystemRequired,Standard
m360_caselocation,m360_CaseLocation,String,,StringType,True,True,True,True,37,,,Case Location,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{970057c9-e7c5-475e-b3c0-35bb787afdfe},None,Standard
m360_caselocationcountryid,m360_CaseLocationCountryId,Lookup,,LookupType,True,True,True,True,38,,,Case Location Country,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{c848fc2c-b955-4bc7-bc81-bf64227dca0d},None,Standard
m360_caselocationcountryidname,m360_CaseLocationCountryIdName,String,m360_caselocationcountryid,StringType,False,False,False,True,80,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{3ff77693-4511-40f2-a5c6-cb9eccaa5c79},None,Standard
m360_casemembershipid,m360_casemembershipid,Lookup,,LookupType,True,True,True,True,39,,,Case Membership,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{ca462e59-5186-4eac-87a7-c05345cb0073},None,Standard
m360_casemembershipidname,m360_casemembershipidName,String,m360_casemembershipid,StringType,False,False,False,True,81,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{2392a8a3-2e89-41db-8d29-28e699909eeb},None,Standard
m360_category,m360_category,Lookup,,LookupType,True,True,True,True,40,,,Category,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.1,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{5d441551-a4b5-4282-a076-e0c35cf2fb8a},None,Standard
m360_categoryname,m360_categoryName,String,m360_category,StringType,False,False,False,True,82,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.1,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{d2be5e05-cd7b-4ec2-b611-ce3ac9ab3e2f},None,Standard
m360_change_status_other_reason,m360_change_status_other_reason,Memo,,MemoType,True,True,True,True,41,,,Change Status Other Reason,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{72c6c700-f3ac-4b01-a911-8d911aae5725},None,Standard
m360_change_status_reason,m360_change_status_reason,Lookup,,LookupType,True,True,True,True,42,,,Change Status Reason,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{183351e2-5dc8-464c-996a-e2239784f650},None,Standard
m360_change_status_reasonname,m360_change_status_reasonName,String,m360_change_status_reason,StringType,False,False,False,True,83,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{95e1c2be-09ab-4267-95a4-6a243bacae42},None,Standard
m360_created_on_date,m360_created_on_date,DateTime,,DateTimeType,True,True,True,True,43,,,Created on Date,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{b559978e-5734-4e9b-916a-008f5731daf2},None,Standard
m360_earliest_arrival_date,m360_earliest_arrival_date,DateTime,,DateTimeType,True,True,True,True,44,,,Earliest Arrival Date,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{b240710f-e4c3-45a8-b6df-ba9ead616dc3},None,Standard
